Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-,F(1)-(1),aq,-67340,83.5,-3.15,0.0956,4,,687,,1.3588,,7.6033,,-2.8352,,4.46,,-7488,,1787,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF.aq,H(1)F(1)+(0),aq,-71662,85.28,22.5,408,3,,3.4753,,0.7042,,5.4732,,-2.8081,,14.3647,,-0.1828,,-0.0007,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1989,Cox,et,al..,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2-,H(1)F(2)-(1),aq,-138160,145.69,22.1,1027,4,,5.2263,,4.9797,,3.7928,,-2.9849,,-1.3751,,-9.7974,,1.2934,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,Cox,et,al..,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe+2,Fe(1)+(2),aq,-21870,239,-25.3,239,6,,-0.7867,,-9.6969,,9.5479,,-2378,,14786,,-4.6437,,1.4382,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988;,Helgeson.,1985,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe+3,Fe(1)+(3),aq,-4120,239,-66.3,1555,9,,-2.4256,,-13.6961,,11.1141,,-2.2127,,19.0459,,-6.8233,,2.5812,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl+,Fe(1)Cl(1)+(1),aq,-53030,242,-10.06,0.8097,4,,2.1468,,-2.5367,,6.7401,,-2.6741,,24.6912,,1.1617,,0.7003,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(logK):,Heinrich,and,Seward.,1990;,SD(Fe+2).,SD(Cl-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl+2,Fe(1)Cl(1)+(2),aq,-37518,956,-42.74,9.56,4.5,,-0.7164,,-9.5277,,9.4878,,-2.3851,,23.8149,,-2.3482,,1.7013,,2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl2.aq,Fe(1)Cl(2)+(0),aq,-73480,784,43,244,3,,5.5057,,5665,,3.5164,,-3.0131,,22.9295,,2.9135,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(G):,Holland,and,Powell.,2011;,SD(Sr)=0;,SD(Fe+2).,SD(Cl-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeF+,Fe(1)F(1)+(1),aq,-91157,253,-20.92,257,4,,-0.4234,,-8.8124,,9.2067,,-2.4146,,26.3785,,1.2102,,0.8683,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(logK)=0;,SD(Fe+2).,SD(F-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeF+2,Fe(1)F(1)+(2),aq,-79645,956,-25.7,9.56,4.5,,-3.4294,,-16152,,12.0915,,-2.1112,,23.9805,,-1.4787,,1.4477,,2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeO.aq,Fe(1)O(1)+(0),aq,-50720,239,-10,239,,,-0.5029,,-9.0053,,9.2791,,-2.4066,,5.8901,,-3.0345,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Fe+2).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeO+,Fe(1)O(1)+(1),aq,-53100,239,-11.1,1.56,,,-3.7118,,-16.8408,,12.3595,,-2.0827,,-15.3982,,-12.8325,,0.7191,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Fe+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeO2-,Fe(1)O(2)-(1),aq,-88000,240,10.6,1.56,,,2.3837,,-1.9602,,6.5182,,-2.6979,,-13.3207,,-14.5028,,1.4662,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Fe+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeOH+,Fe(1)O(1)H(1)+(1),aq,-65850,1171,-10,3.82,4,,-0.2561,,-8.4039,,9.0457,,-2.4315,,21.4093,,0.0209,,0.7003,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Tremaine,and,LeBlanc.,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeOH+2,Fe(1)O(1)H(1)+(2),aq,-57800,95.6,-25.4,9.56,4.5,,-1.1562,,-10.6009,,9.9077,,-2.3407,,14.6102,,-4.7048,,1.4382,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFeO2-,H(1)Fe(1)O(2)-(1),aq,-95400,956,-15,0.24,,,0.6272,,-6244,,8.1905,,-2.5208,,36.1624,,1.4468,,1.8564,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Wagman,et,al..,1982;,SD(Sr)=0;,SD(S(Fe+2)).,SD(S(H2O.aq)):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFeO2.aq,H(1)Fe(1)O(2)+(0),aq,-101100,240,22.2,1.56,,,2.7401,,-1.0905,,6.1776,,-2.7338,,-37.83,,-18.2305,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Fe+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ga+3,Ga(1)+(3),aq,-38000,,-79,,5,,-2.8378,,-14.7065,,11.5197,,-2.1709,,16.2356,,-8.4326,,2.7787,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaOH+2,Ga(1)O(1)H(1)+(2),aq,-91100,,-67.3,,,,1.6572,,-3.7321,,7.2107,,-2.6246,,48387,,5.0115,,2.07,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaO+,Ga(1)O(1)+(1),aq,-86600,,-29.2,,,,2.1299,,-2.5806,,6.7629,,-2.6722,,-0.7503,,-8.6363,,0.9986,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGaO2.aq,H(1)Ga(1)O(2)+(1),aq,-137300,,2.9,,,,3447,,0.6328,,5506,,-2.8051,,-12.1716,,-9.2677,,-0.0439,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaO2-,Ga(1)O(2)-(1),aq,-128700,,-10,,,,3.6247,,1.0721,,5.3221,,-2.8232,,14.3978,,-5.8659,,1.7777,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd+2,Gd(1)+(2),aq,-70600,,-4.3,,4.5,,0.0094,,-7.7516,,8781,,-2.4584,,9.9946,,-5.2956,,1.1216,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd+3,Gd(1)+(3),aq,-158600,,-49.2,,5,,-2.9771,,-15.0506,,11.6656,,-2.1568,,6.5606,,-10.3474,,2.3265,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd+4,Gd(1)+(4),aq,12600,,-107.6,,,,-4.3532,,-18.4052,,12.97,,-2018,,39.8394,,-3503,,3.8013,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdCO3+,Gd(1)C(1)O(3)+(1),aq,-295500,,-40.8,,4,,-953,,-10.1036,,9.7095,,-2.3612,,-19.8322,,-15.8269,,1.1729,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdOH+2,Gd(1)O(1)H(1)+(2),aq,-204500,,-2.9,,4.5,,2.7389,,-1.0936,,6.1786,,-2.7337,,-3.5082,,-9.9196,,1.1,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdO+,Gd(1)O(1)+(1),aq,-193000,,13.1,,4,,2.8425,,-0.8409,,6.0801,,-2.7441,,-34.9963,,-18475,,0.3539,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdO2H.aq,Gd(1)O(2)H(1),aq,-237500,,48.2,,3,,5.0117,,4.4582,,3.9917,,-2.9632,,-72.5835,,-30.3099,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdO2-,Gd(1)O(2)-(1),aq,-225000,,38.3,,4,,5.0344,,4.5111,,3.9769,,-2.9654,,-50.6235,,-26.1341,,1.0495,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdHCO3+2,Gd(1)H(1)C(1)O(3)+(2),aq,-301200,,-9.7,,4.5,,0.6026,,-6.3043,,8.2153,,-2.5183,,39.1396,,4.5681,,1.2048,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdCl+2,Gd(1)Cl(1)+(2),aq,-190400,,-22.3,,4.5,,-263,,-8417,,9.0425,,-2.4309,,18.1232,,-3.3636,,1.4006,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdCl2+,Gd(1)Cl(2)+(1),aq,-221300,,-5.4,,4,,2.8492,,-0.8272,,6.0803,,-2.7447,,9526,,-3.8858,,0.6305,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdCl3.aq,Gd(1)Cl(3),aq,-252100,,2.2,,3,,6.3836,,7.8028,,2.6888,,-3.1015,,-19.6565,,-11.9138,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdCl4-,Gd(1)Cl(4)-(1),aq,-282900,,-0.2,,4,,11.1317,,19.3995,,-1.8761,,-3.5809,,-49.0467,,-27.4478,,1631,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdH2PO4+2,Gd(1)H(2)P(1)O(4)+(2),aq,-431800,,-26.1,,4.5,,1.6048,,-3.8632,,7.2686,,-2.6192,,43.0549,,5.1201,,1.4574,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdNO3+2,Gd(1)N(1)O(3)+(2),aq,-185700,,-32.5,,4.5,,1.3205,,-4.5535,,7.5323,,-2.5907,,33.6609,,1.5663,,1.5475,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdF+2,Gd(1)F(1)+(2),aq,-232200,,-14.4,,4.5,,-2.9196,,-14.9041,,11.5935,,-2.1628,,19.3937,,-2.5281,,1.2776,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdF2+,Gd(1)F(2)+(1),aq,-304100,,-10.2,,4,,-2.6526,,-14.2557,,11.3457,,-2.1896,,15.9952,,-1.8906,,0.7096,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdF3.aq,Gd(1)F(3),aq,-374900,,-19.9,,3,,-2.3913,,-13.6174,,11.0949,,-2216,,-9.6471,,-8.4349,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdF4-,Gd(1)F(4)-(1),aq,-445000,,-46.4,,4,,-1026,,-10.2805,,9.7756,,-2.3539,,-27.4519,,-22.1609,,2.3239,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GdSO4+,Gd(1)S(1)O(4)+(1),aq,-331500,,-12,,4,,-1.4776,,-4.1705,,7.3822,,-2.6065,,-20936,,-14788,,0.7287,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H+,H(1)+(1),aq,0,,0,,9,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2.aq,H(2)+(0),aq,4236,956,13.8,956,,,5.1427,,4.7758,,3.8729,,-2.9764,,27.6251,,5093,,-209,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1989,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O2.aq,H(2)O(2),aq,-32030,95.6,34.4,956,,,6.1922,,7337,,2.8686,,-3.0822,,10.36,,-0.9975,,-0.1809,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCl.aq,H(1)Cl(1)+(0),aq,-30410,208,3.2,0.0239,3,,1.2547,,-4.7177,,7.6043,,-2584,,16.7134,,2.8727,,-0.7,,0,,,,,,,,,,,,,,,,,,,,,,,,McCollom,and,Shock.,1997,SD(G):,Holland,and,Powell.,2011;,SD(Sr)=0;,SD(Cl-):,Robie,and,Hamingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HClO.aq,H(1)Cl(1)O(1)+(0),aq,-19100,74.62,33.9,9.56,3,,5.5927,,5.8751,,3.4387,,-3.0218,,9.9023,,-1.1808,,-0.1734,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Guillaumont,et,al..,2004;,SD(S):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HClO2.aq,H(1)Cl(1)O(2)+(0),aq,1400,490.36,45,956,3,,7.6706,,10.9455,,1.4527,,-3.2314,,19.1373,,2.5672,,-0.3415,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Guillaumont,et,al..,2004;,SD(S):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF.aq,H(1)F(1)+(0),aq,-71662,,22.5,,3,,3.4753,,0.7042,,5.4732,,-2.8081,,14.3647,,-0.1828,,-0.0007,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2-,H(1)F(2)-(1),aq,-138160,,22.1,,4,,5.2263,,4.9797,,3.7928,,-2.9849,,-1.3751,,-9.7974,,1.2934,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS-,H(1)S(1)-(1),aq,2860,256.35,16.3,607,3.5,,5.0119,,4.9799,,3.4765,,-2.9849,,3.42,,-6.27,,1441,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Cox,et,al..,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2S.aq,H(2)S(1)+(0),aq,-6673,256.35,30,607,3,,16.0134,4.2463,-12.6673,12.1323,-59.9904,30816,10.0382,8.7352,26.0516,1.2132,7.6482,1.3345,-0.2533,1.6985,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1989;,Plyasunov,and,Shock.,2001,SD(G).,SD(S):,Cox,et,al..,1989;,SD(a1).,SD(a2).,SD(a3).,SD(a4).,SD(c1).,SD(c2).,SD(w):,Plyasunov,and,Shock.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS2O3-,H(1)S(2)O(3)-(1),aq,-127200,1380.2,30.5,956,4,,6.1964,,7351,,2.8549,,-3.0828,,18.9745,,-2.3216,,1.1676,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Guillaumont,et,al..,2004;,SD(Sr)=0;,SD(S(S2O3-2)):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS2O4-,H(1)S(2)O(4)-(1),aq,-146900,956,36.5,956,,,7.6159,,10.8142,,1.5005,,-3226,,23.9326,,-0.3049,,1076,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Wagman,et,al..,1982;,SD(Sr)=0;,SD(S(S2O4-2)):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSO3-,H(1)S(1)O(3)-(1),aq,-126130,95.6,33.4,956,4,,6.7014,,8.5816,,2.3771,,-3.1338,,15.6949,,-3.3198,,1.1233,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSO4-,H(1)S(1)O(4)-(1),aq,-180630,162.94,30,364,4,,6.9788,,9259,,2.1108,,-3.1618,,20.0961,9.56,-1955,,1.1748,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Cox,et,al..,1989;,SD(c1)<-SD(Cp):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2S2O3.aq,H(2)S(2)O(3)+(0),aq,-128000,1380.2,45,956,,,7.4242,,10.3493,,1.6762,,-3.2067,,19.1373,,2.5672,,-0.3415,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(HS2O3-):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2S2O4.aq,H(2)S(2)O(4)+(0),aq,-147400,956,51,956,,,8.6525,,13.3462,,0.5023,,-3.3306,,24.1023,,4.5838,,-0.4323,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Wagman,et,al..,1982;,SD(Sr)=0;,SD(S(S2O4-2)):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf+4,Hf(1)+(4),aq,-132600,,-111.2,,,,-4.3761,,-18.4638,,12.9996,,-2.0156,,39.6914,,-3.7271,,3.8552,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HfOH+3,Hf(1)O(1)H(1)+(3),aq,-189000,,-72.8,,5,,0.9047,,-5567,,7.9267,,-2.5488,,57.6774,,6.2949,,2.6777,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HfO+2,Hf(1)O(1)+(2),aq,-186000,,-46.2,,,,2.0179,,-2.8551,,6.8743,,-2.6609,,17.6401,,-4.6845,,1.7607,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHfO2+,H(1)Hf(1)O(2)+(1),aq,-237800,,-51,,,,2.0629,,-2.7421,,6.8221,,-2.6655,,72.4834,,15.7669,,1.3268,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HfO2.aq,Hf(1)O(2)+(0),aq,-231400,,-45.1,,,,1.8096,,-3.3639,,7.0739,,-2.6398,,40.1163,,8.8615,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHfO3-,H(1)Hf(1)O(3)-(1),aq,-279200,,-34.3,,,,3.4908,,0.7427,,5.4561,,-2.8096,,57.7445,,8.0059,,2.1506,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho+2,Ho(1)+(2),aq,-96900,,-4.3,,4.5,,0.0094,,-7.7516,,8781,,-2.4584,,9.9946,,-5.2956,,1.1216,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho+3,Ho(1)+(3),aq,-161400,,-54.3,,5,,-3.1198,,-15.3992,,11.8026,,-2.1424,,8.6686,,-9.8178,,2.3899,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho+4,Ho(1)+(4),aq,-30500,,-104.2,,,,-4.3164,,-18.3144,,12933,,-2.0218,,39.9963,,-3.2789,,3.7484,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoCO3+,Ho(1)C(1)O(3)+(1),aq,-298600,,-47,,4,,-0.9954,,-10.2047,,9.7433,,-2357,,-17.4516,,-15.2972,,1.2659,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoHCO3+2,Ho(1)H(1)C(1)O(3)+(2),aq,-304000,,-17,,4.5,,0.4557,,-6662,,8.3538,,-2.5035,,43.5512,,5.7598,,1.3115,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoOH+2,Ho(1)O(1)H(1)+(2),aq,-207500,,-9.7,,4.5,,2.6374,,-1.3394,,6.2715,,-2.7235,,1.9108,,-8.3714,,1.2048,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoO+,Ho(1)O(1)+(1),aq,-196200,,5.9,,4,,2.7146,,-1.1548,,6.2077,,-2.7312,,-29.1412,,-16.7843,,0.4615,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoO2H.aq,Ho(1)O(2)H(1)+(0),aq,-241300,,40.5,,3,,4738,,3.79,,4.2544,,-2.9356,,-62.2688,,-26.7248,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
